Time: 1618473195.610283 	 Lat:47.47053 	 Long:19.05745 	 Heading: 43.59113 	 Speed:10.95417
Time: 1618473196.610297 	 Lat:47.47057 	 Long:19.05750 	 Heading: 43.21243 	 Speed:8.85194
Time: 1618473197.610314 	 Lat:47.47059 	 Long:19.05756 	 Heading: 43.64454 	 Speed:7.89250
Time: 1618473198.610340 	 Lat:47.47063 	 Long:19.05761 	 Heading: 43.42832 	 Speed:7.58083
Time: 1618473199.610357 	 Lat:47.47066 	 Long:19.05767 	 Heading: 43.18283 	 Speed:8.60750
Time: 1618473200.610375 	 Lat:47.47070 	 Long:19.05773 	 Heading: 43.65571 	 Speed:10.30639
Time: 1618473201.610399 	 Lat:47.47075 	 Long:19.05781 	 Heading: 42.86222 	 Speed:11.12833
Time: 1618473202.610413 	 Lat:47.47080 	 Long:19.05788 	 Heading: 43.48991 	 Speed:11.79750
Time: 1618473203.610434 	 Lat:47.47085 	 Long:19.05796 	 Heading: 42.81696 	 Speed:11.79750
Time: 1618473204.610450 	 Lat:47.47090 	 Long:19.05804 	 Heading: 43.26692 	 Speed:12.01750
Time: 1618473205.610474 	 Lat:47.47095 	 Long:19.05812 	 Heading: 41.84952 	 Speed:12.42389
Time: 1618473206.610496 	 Lat:47.47101 	 Long:19.05820 	 Heading: 43.12106 	 Speed:12.47889
Time: 1618473207.610522 	 Lat:47.47105 	 Long:19.05828 	 Heading: 42.44740 	 Speed:11.80972
Time: 1618473208.610542 	 Lat:47.47110 	 Long:19.05834 	 Heading: 43.40045 	 Speed:9.75333
Time: 1618473209.610558 	 Lat:47.47113 	 Long:19.05839 	 Heading: 42.86906 	 Speed:7.45250
Time: 1618473210.610566 	 Lat:47.47116 	 Long:19.05844 	 Heading: 42.22749 	 Speed:7.49833
Time: 1618473211.610597 	 Lat:47.47119 	 Long:19.05848 	 Heading: 43.33503 	 Speed:7.77639
Time: 1618473212.610617 	 Lat:47.47123 	 Long:19.05854 	 Heading: 42.69232 	 Speed:9.01389
Time: 1618473213.610639 	 Lat:47.47127 	 Long:19.05861 	 Heading: 42.13736 	 Speed:9.72889
Time: 1618473214.610669 	 Lat:47.47131 	 Long:19.05867 	 Heading: 43.38684 	 Speed:10.22694
Time: 1618473215.610684 	 Lat:47.47136 	 Long:19.05874 	 Heading: 42.50891 	 Speed:10.26056
Time: 1618473216.610702 	 Lat:47.47140 	 Long:19.05880 	 Heading: 43.00193 	 Speed:9.85722
Time: 1618473217.610722 	 Lat:47.47144 	 Long:19.05887 	 Heading: 40.06544 	 Speed:9.35917
Time: 1618473218.610743 	 Lat:47.47147 	 Long:19.05893 	 Heading: 39.57114 	 Speed:8.66556
Time: 1618473219.610765 	 Lat:47.47151 	 Long:19.05897 	 Heading: 42.37712 	 Speed:8.07583
Time: 1618473220.610772 	 Lat:47.47154 	 Long:19.05902 	 Heading: 43.49728 	 Speed:7.14083
Time: 1618473221.610871 	 Lat:47.47156 	 Long:19.05905 	 Heading: 44.13932 	 Speed:5.00194
Time: 1618473222.610886 	 Lat:47.47157 	 Long:19.05907 	 Heading: 44.28294 	 Speed:2.51778
